,host,method,t_number,resolution,subunits,NSC,sasa,radius_inner,radius_ave,radius_outer,diameter_inner,diametr_ave,diameter_outer,pdb,uniprot_id
173,Humans,ELECTRON MICROSCOPY,4,4.4,240,-420 e- per virion,"18,179.8 Å² × 60",132Å,175Å,180Å,264Å,350Å,360Å,7fdj,
174,Human,ELECTRON MICROSCOPY,4,2.64,240,,"16,516.5 Å² × 60",123Å,175Å,175Å,246Å,350Å,350Å,6hu4,
175,Human,ELECTRON MICROSCOPY,4,4.6,240,-60 e- per virion,"14,390.1 Å² × 60",125Å,168Å,170Å,250Å,336Å,340Å,6w0k,
176,Humans,ELECTRON MICROSCOPY,4,3.2,240,,"14,803.2 Å² × 60",127Å,176Å,176Å,254Å,352Å,352Å,7abl,
177,Human,ELECTRON MICROSCOPY,3,3.53,180,+240 e- per virion,"10,522.3 Å² × 60",103Å,151Å,152Å,206Å,302Å,304Å,6ui6,
178,Human,ELECTRON MICROSCOPY,4,3.65,240,-60 e- per virion,"14,137.6 Å² × 60",122Å,169Å,170Å,244Å,338Å,340Å,6ui7,
179,Human,ELECTRON MICROSCOPY,4,3.6,240,-120 e- per virion,"15,908.2 Å² × 60",128Å,177Å,178Å,256Å,354Å,356Å,6vzp,
180,Animal,X-RAY DIFFRACTION,4,8.9,240,,"16,372.5 Å² × 60",127Å,176Å,176Å,254Å,352Å,352Å,2qij,
181,Humans,ELECTRON MICROSCOPY,4,3.0,240,-240 e- per virion,"15,449.6 Å² × 60",128Å,176Å,177Å,256Å,352Å,354Å,7od6,
182,Humans,ELECTRON MICROSCOPY,4,2.8,240,+60 e- per virion,"14,784.8 Å² × 60",128Å,176Å,176Å,256Å,352Å,352Å,7od7,
183,Humans,ELECTRON MICROSCOPY,4,3.2,240,-60 e- per virion,"14,606.5 Å² × 60",128Å,176Å,176Å,256Å,352Å,352Å,7oco,P03146
184,Humans,ELECTRON MICROSCOPY,4,3.2,240,+60 e- per virion,"14,812.0 Å² × 60",128Å,176Å,176Å,256Å,352Å,352Å,7ocw,
185,Humans,ELECTRON MICROSCOPY,4,3.1,240,-240 e- per virion,"15,280.7 Å² × 60",128Å,176Å,177Å,256Å,352Å,354Å,7oev,
186,Humans,ELECTRON MICROSCOPY,4,2.9,240,-120 e- per virion,"15,012.4 Å² × 60",128Å,176Å,176Å,256Å,352Å,352Å,7oew,
187,Humans,ELECTRON MICROSCOPY,4,3.0,240,-180 e- per virion,"15,346.8 Å² × 60",128Å,176Å,176Å,256Å,352Å,352Å,7od8,
188,Humans,ELECTRON MICROSCOPY,4,3.2,240,-180 e- per virion,"15,340.6 Å² × 60",128Å,177Å,177Å,256Å,354Å,354Å,7oen,7OEN
189,Humans,ELECTRON MICROSCOPY,4,2.8,240,+120 e- per virion,"14,939.8 Å² × 60",128Å,176Å,176Å,256Å,352Å,352Å,7od4,
190,,X-RAY DIFFRACTION,4,3.3,240,+60 e- per virion,"14,922.1 Å² × 60",127Å,175Å,175Å,254Å,350Å,350Å,1qgt,
191,Animal,X-RAY DIFFRACTION,4,5.05,240,,"22,699.1 Å² × 60",119Å,177Å,178Å,238Å,354Å,356Å,2g34,
192,Animal,X-RAY DIFFRACTION,4,3.96,240,-60 e- per virion,"22,100.3 Å² × 60",118Å,175Å,176Å,236Å,350Å,352Å,2g33,
193,Human,ELECTRON MICROSCOPY,4,2.8,240,-60 e- per virion,"15,940.3 Å² × 60",123Å,175Å,175Å,246Å,350Å,350Å,6hu7,
194,Human,ELECTRON MICROSCOPY,4,2.66,240,,"14,793.0 Å² × 60",128Å,176Å,176Å,256Å,352Å,352Å,6htx,P03146
195,Algae,ELECTRON MICROSCOPY,pT3,3.1,60,-420 e- per virion,"15,983.6 Å² × 60",109Å,163Å,169Å,218Å,326Å,338Å,6shl,
196,Bacteria,ELECTRON MICROSCOPY,1,2.6,60,-540 e- per virion,"10,403.8 Å² × 60",96Å,142Å,153Å,192Å,284Å,306Å,8des,
197,,X-RAY DIFFRACTION,1,3.5,60,-240 e- per virion,"12,891.5 Å² × 60",96Å,170Å,171Å,192Å,340Å,342Å,1rb8,
198,,X-RAY DIFFRACTION,1,3.5,60,-240 e- per virion,"12,805.6 Å² × 60",96Å,170Å,171Å,192Å,340Å,342Å,1m06,P08767
199,,X-RAY DIFFRACTION,1,3.0,60,-540 e- per virion,"13,188.2 Å² × 60",96Å,168Å,171Å,192Å,336Å,342Å,2bpa,
200,,X-RAY DIFFRACTION,1,3.0,60,-180 e- per virion,"13,103.5 Å² × 60",97Å,168Å,171Å,194Å,336Å,342Å,1gff,
201,Bacteria,X-RAY DIFFRACTION,1,3.5,60,-1260 e- per virion,"34,764.6 Å² × 60",86Å,173Å,176Å,172Å,346Å,352Å,1al0,P03633
202,Bacteria,X-RAY DIFFRACTION,1,3.5,60,-960 e- per virion,"37,098.1 Å² × 60",72Å,175Å,176Å,144Å,350Å,352Å,1cd3,P03633
203,,CRYO-ELECTRON MICROSCOPY,1,27.0,60,-420 e- per virion,"23,797.8 Å² × 60",97Å,179Å,179Å,194Å,358Å,358Å,1kvp,P03641
204,Bacteria,CRYO-ELECTRON MICROSCOPY,1,16.0,60,,"58,727.4 Å² × 60",76Å,177Å,179Å,152Å,354Å,358Å,1m0f,
205,Insect,X-RAY DIFFRACTION,pT3,2.6,60,+240 e- per virion,"18,330.6 Å² × 60",114Å,180Å,187Å,228Å,360Å,374Å,5j98,
206,Insect,X-RAY DIFFRACTION,pT3,3.41,60,-120 e- per virion,"18,407.0 Å² × 60",114Å,187Å,194Å,228Å,374Å,388Å,5j96,
207,Insect,X-RAY DIFFRACTION,pT3,3.8,60,,"16,777.4 Å² × 60",115Å,178Å,186Å,230Å,356Å,372Å,5g52,
208,Insect,X-RAY DIFFRACTION,pT3,2.1,60,,"11,658.7 Å² × 60",115Å,158Å,161Å,230Å,316Å,322Å,5lsf,
209,Insect,ELECTRON MICROSCOPY,pT3,3.22,60,-60 e- per virion,"11,796.2 Å² × 60",114Å,158Å,161Å,228Å,316Å,322Å,5oyp,
210,Insect,ELECTRON MICROSCOPY,pT3,3.18,60,-60 e- per virion,"11,922.2 Å² × 60",114Å,158Å,161Å,228Å,316Å,322Å,6egv,
211,Insect,ELECTRON MICROSCOPY,pT3,4.06,60,+60 e- per virion,"13,577.4 Å² × 60",116Å,160Å,163Å,232Å,320Å,326Å,6egx,A0A223DN59
212,Insect,ELECTRON MICROSCOPY,pT3,7.25,60,-300 e- per virion,"14,029.4 Å² × 60",122Å,162Å,165Å,244Å,324Å,330Å,6eh1,A0A223FUL8
213,Insect,ELECTRON MICROSCOPY,pT3,3.87,60,-60 e- per virion,"13,419.8 Å² × 60",116Å,159Å,162Å,232Å,318Å,324Å,6eiw,A0A223DN59
214,Insect,ELECTRON MICROSCOPY,pT3,3.42,60,+180 e- per virion,"16,435.4 Å² × 60",115Å,161Å,164Å,230Å,322Å,328Å,5lk8,
215,Insect,ELECTRON MICROSCOPY,pT3,3.42,60,+300 e- per virion,"13,101.4 Å² × 60",114Å,159Å,161Å,228Å,318Å,322Å,5lk7,
216,Insect,ELECTRON MICROSCOPY,pT3,3.1,60,+120 e- per virion,"17,035.9 Å² × 60",115Å,189Å,191Å,230Å,378Å,382Å,6f5j,
217,Insect,ELECTRON MICROSCOPY,pT3,3.44,60,,"15,793.7 Å² × 60",114Å,186Å,189Å,228Å,372Å,378Å,5l7q,
218,Insect,ELECTRON MICROSCOPY,pT3,3.2,60,-60 e- per virion,"15,528.8 Å² × 60",114Å,186Å,189Å,228Å,372Å,378Å,5l8q,Q7TG18
219,Insect,ELECTRON MICROSCOPY,pT3,3.8,60,+180 e- per virion,"15,530.3 Å² × 60",113Å,179Å,189Å,226Å,358Å,378Å,5mup,Q7TG18
220,Insect,ELECTRON MICROSCOPY,pT3,3.1,60,-60 e- per virion,"16,203.0 Å² × 60",114Å,186Å,189Å,228Å,372Å,378Å,5mv5,Q7TG18
221,Insect,ELECTRON MICROSCOPY,pT3,3.5,60,+60 e- per virion,"16,079.1 Å² × 60",114Å,186Å,189Å,228Å,372Å,378Å,5mv6,
222,Cyanobacteria,ELECTRON MICROSCOPY,9,3.35,540,,"74,430.6 Å² × 60",295Å,349Å,374Å,590Å,698Å,748Å,7f38,
223,Bacteria:Vibrio,ELECTRON MICROSCOPY,7l,3.2,420,-3660 e- per virion,"73,486.2 Å² × 60",266Å,329Å,336Å,532Å,658Å,672Å,7kmx,7KMX
224,Bacterira,ELECTRON MICROSCOPY,4,4.19,240,-840 e- per virion,"51,430.3 Å² × 60",171Å,248Å,255Å,342Å,496Å,510Å,7jw1,
225,Bacteria,ELECTRON MICROSCOPY,13,3.3,780,,,376Å,440Å,459Å,752Å,880Å,918Å,5vf3,P19896
226,Plant,ELECTRON MICROSCOPY,1,3.19,60,,"3,479.4 Å² × 60",54Å,92Å,92Å,108Å,184Å,184Å,6s44,
227,Insect,X-RAY DIFFRACTION,3,2.8,180,+420 e- per virion,"20,210.7 Å² × 60",102Å,166Å,172Å,204Å,332Å,344Å,2bbv,
228,Insect,X-RAY DIFFRACTION,3,3.2,180,-120 e- per virion,"19,291.7 Å² × 60",102Å,168Å,172Å,204Å,336Å,344Å,2q23,2Q23
229,Insect,X-RAY DIFFRACTION,3,3.6,180,+60 e- per virion,"21,563.5 Å² × 60",103Å,169Å,173Å,206Å,338Å,346Å,3lob,P12870
230,Insect,X-RAY DIFFRACTION,3,2.7,180,-300 e- per virion,"19,535.4 Å² × 60",101Å,168Å,171Å,202Å,336Å,342Å,4ftb,
231,Insect,X-RAY DIFFRACTION,3,3.5,180,+360 e- per virion,"19,508.0 Å² × 60",101Å,168Å,171Å,202Å,336Å,342Å,4fte,P12870
232,Insect,X-RAY DIFFRACTION,3,3.2,180,+180 e- per virion,"19,047.2 Å² × 60",103Å,168Å,171Å,206Å,336Å,342Å,4fts,
233,Insect,X-RAY DIFFRACTION,3,3.5,180,-540 e- per virion,"19,551.9 Å² × 60",103Å,168Å,171Å,206Å,336Å,342Å,4fsj,
234,Insect,X-RAY DIFFRACTION,3,3.5,180,,"18,937.0 Å² × 60",103Å,167Å,172Å,206Å,334Å,344Å,2q25,P12870
235,Insect,ELECTRON MICROSCOPY,3,4.7,180,,,123Å,165Å,170Å,246Å,330Å,340Å,6itf,
236,Insect,ELECTRON MICROSCOPY,3,4.7,180,-480 e- per virion,"19,737.8 Å² × 60",108Å,168Å,171Å,216Å,336Å,342Å,6itb,
237,Insect,X-RAY DIFFRACTION,3,3.5,180,-240 e- per virion,"20,071.3 Å² × 60",104Å,174Å,179Å,208Å,348Å,358Å,1nov,
238,,X-RAY DIFFRACTION,3,3.0,180,+120 e- per virion,"18,997.0 Å² × 60",98Å,172Å,175Å,196Å,344Å,350Å,1f8v,
239,Fish,ELECTRON MICROSCOPY,3,3.7,180,-1140 e- per virion,"10,790.2 Å² × 60",113Å,155Å,158Å,226Å,310Å,316Å,6rj0,
240,Animal,X-RAY DIFFRACTION,3,3.6,180,-1260 e- per virion,"20,892.8 Å² × 60",114Å,180Å,182Å,228Å,360Å,364Å,4wiz,
241,Animal,ELECTRON MICROSCOPY,3,3.9,180,,"27,852.9 Å² × 60",115Å,157Å,158Å,230Å,314Å,316Å,3jbm,
242,Fish,X-RAY DIFFRACTION,1,3.1,60,+60 e- per virion,"3,823.1 Å² × 60",55Å,95Å,95Å,110Å,190Å,190Å,4rft,
243,Shrimp,ELECTRON MICROSCOPY,1,3.7,60,-420 e- per virion,"7,631.8 Å² × 60",58Å,125Å,128Å,116Å,250Å,256Å,6ab5,
244,Shrimp,ELECTRON MICROSCOPY,3,3.5,180,-1440 e- per virion,"24,425.2 Å² × 60",106Å,182Å,186Å,212Å,364Å,372Å,6ab6,
245,Animal,X-RAY DIFFRACTION,3,3.75,180,-720 e- per virion,"29,284.8 Å² × 60",113Å,184Å,185Å,226Å,368Å,370Å,4nww,
246,Animal,X-RAY DIFFRACTION,3,3.25,180,-720 e- per virion,"29,074.2 Å² × 60",111Å,183Å,184Å,222Å,366Å,368Å,4nwv,
247,Fish,ELECTRON MICROSCOPY,3,3.28,180,-780 e- per virion,"29,276.4 Å² × 60",107Å,197Å,199Å,214Å,394Å,398Å,6h2b,
248,Unknown,X-RAY DIFFRACTION,1,3.12,60,-240 e- per virion,"3,704.0 Å² × 60",58Å,95Å,98Å,116Å,190Å,196Å,5yl1,A5H7Q8
249,Giant fresh water prawn,ELECTRON MICROSCOPY,3,3.21,180,-360 e- per virion,"12,240.8 Å² × 60",109Å,158Å,161Å,218Å,316Å,322Å,6jjd,
250,Giant fresh water prawn,ELECTRON MICROSCOPY,3,2.92,180,-300 e- per virion,"12,850.7 Å² × 60",107Å,158Å,160Å,214Å,316Å,320Å,6jjc,
251,Bacteria,ELECTRON MICROSCOPY,4,7.04,240,-960 e- per virion,"21,993.9 Å² × 60",114Å,160Å,165Å,228Å,320Å,330Å,7a4i,
252,Bacteria,ELECTRON MICROSCOPY,4,3.04,240,-1440 e- per virion,"21,121.0 Å² × 60",111Å,158Å,163Å,222Å,316Å,326Å,7a4j,
253,,ELECTRON MICROSCOPY,1,2.28,60,-780 e- per virion,"6,059.0 Å² × 60",87Å,120Å,122Å,174Å,240Å,244Å,7bcv,Q45296
254,,ELECTRON MICROSCOPY,1,6.9,60,+540 e- per virion,"6,832.2 Å² × 60",58Å,116Å,119Å,116Å,232Å,238Å,7bgj,
255,Bacteria,ELECTRON MICROSCOPY,1,2.0,60,-720 e- per virion,"6,589.8 Å² × 60",88Å,119Å,120Å,176Å,238Å,240Å,7kq5,
256,,ELECTRON MICROSCOPY,1,3.3,60,-180 e- per virion,"6,268.4 Å² × 60",73Å,107Å,109Å,146Å,214Å,218Å,7eq9,
257,Bacteria,ELECTRON MICROSCOPY,1,2.99,60,-480 e- per virion,"6,833.5 Å² × 60",88Å,119Å,122Å,176Å,238Å,244Å,6wkv,
258,Bacteria & Archea,ELECTRON MICROSCOPY,1,2.87,60,-780 e- per virion,"6,547.3 Å² × 60",88Å,120Å,121Å,176Å,240Å,242Å,7k5w,Q9WZP2
259,Bacteria,ELECTRON MICROSCOPY,1,2.5,60,-720 e- per virion,"5,564.6 Å² × 60",86Å,116Å,121Å,172Å,232Å,242Å,7boj,A0R4H0
260,,X-RAY DIFFRACTION,1,2.5,60,-420 e- per virion,"5,837.0 Å² × 60",84Å,115Å,120Å,168Å,230Å,240Å,6i9g,
261,,ELECTRON MICROSCOPY,1,5.35,60,-420 e- per virion,"8,659.9 Å² × 60",73Å,123Å,123Å,146Å,246Å,246Å,6vfj,6VFJ
262,,ELECTRON MICROSCOPY,1,2.9,60,+120 e- per virion,"8,128.6 Å² × 60",57Å,118Å,121Å,114Å,236Å,242Å,6zlo,
263,,ELECTRON MICROSCOPY,1,3.67,60,-60 e- per virion,"10,228.5 Å² × 60",78Å,133Å,133Å,156Å,266Å,266Å,7sge,7SGE
264,,ELECTRON MICROSCOPY,1,2.33,60,-120 e- per virion,"3,479.8 Å² × 60",42Å,81Å,82Å,84Å,162Å,164Å,7x7m,O66529
265,,ELECTRON MICROSCOPY,3,3.45,180,-240 e- per virion,"23,159.5 Å² × 60",134Å,190Å,192Å,268Å,380Å,384Å,7s2t,7S2T
266,,ELECTRON MICROSCOPY,3,3.12,180,-300 e- per virion,"23,739.2 Å² × 60",133Å,185Å,192Å,266Å,370Å,384Å,7s4q,
267,,ELECTRON MICROSCOPY,1,3.4,60,-180 e- per virion,"7,589.5 Å² × 60",66Å,117Å,119Å,132Å,234Å,238Å,7s21,Q1D6H4
268,,ELECTRON MICROSCOPY,3,3.4,180,-180 e- per virion,"22,221.7 Å² × 60",132Å,186Å,190Å,264Å,372Å,380Å,7s20,
269,,ELECTRON MICROSCOPY,1,3.84,60,+300 e- per virion,"7,477.5 Å² × 60",58Å,116Å,122Å,116Å,232Å,244Å,7ott,G0S4X6
270,,ELECTRON MICROSCOPY,1,2.5,60,-480 e- per virion,"6,038.0 Å² × 60",87Å,117Å,120Å,174Å,234Å,240Å,7odw,D0LZ74
271,Bacteria,ELECTRON MICROSCOPY,3,3.24,180,-60 e- per virion,"7,184.3 Å² × 60",77Å,109Å,111Å,154Å,218Å,222Å,7ckb,
272,Bacteria,ELECTRON MICROSCOPY,3,4.6,180,-720 e- per virion,"22,535.4 Å² × 60",131Å,189Å,190Å,262Å,378Å,380Å,4pt2,
273,,ELECTRON MICROSCOPY,1,3.84,60,+120 e- per virion,"7,906.3 Å² × 60",58Å,121Å,122Å,116Å,242Å,244Å,7q5r,
274,Bacteria,ELECTRON MICROSCOPY,4,2.9,240,-120 e- per virion,"7,454.5 Å² × 60",93Å,122Å,127Å,186Å,244Å,254Å,7ckc,
275,,ELECTRON MICROSCOPY,1,3.7,60,+60 e- per virion,"5,654.8 Å² × 60",88Å,127Å,130Å,176Å,254Å,260Å,7b3y,A0A0H3BX48
276,,ELECTRON MICROSCOPY,4,3.57,240,-1740 e- per virion,"39,630.5 Å² × 60",169Å,227Å,233Å,338Å,454Å,466Å,7mh2,A0A0F5HPP7
277,Bacteria,ELECTRON MICROSCOPY,9,3.0,540,-1020 e- per virion,"28,940.9 Å² × 60",138Å,198Å,207Å,276Å,396Å,414Å,6mzx,
278,,ELECTRON MICROSCOPY,1,2.84,60,-600 e- per virion,"7,928.1 Å² × 60",94Å,127Å,128Å,188Å,254Å,256Å,7lij,Q9WZP2
279,,ELECTRON MICROSCOPY,1,2.91,60,-720 e- per virion,"8,439.4 Å² × 60",93Å,127Å,128Å,186Å,254Å,256Å,7lik,Q9WZP2
280,,ELECTRON MICROSCOPY,1,2.96,60,-540 e- per virion,"6,877.0 Å² × 60",90Å,122Å,123Å,180Å,244Å,246Å,7lis,Q9WZP2
281,,ELECTRON MICROSCOPY,1,2.75,60,-540 e- per virion,"8,046.4 Å² × 60",94Å,127Å,128Å,188Å,254Å,256Å,7lim,Q9WZP2
282,,ELECTRON MICROSCOPY,1,3.55,60,-660 e- per virion,"7,721.8 Å² × 60",91Å,125Å,126Å,182Å,250Å,252Å,7lii,Q9WZP2
283,,ELECTRON MICROSCOPY,1,2.53,60,-540 e- per virion,"7,171.5 Å² × 60",89Å,120Å,122Å,178Å,240Å,244Å,7lit,Q9WZP2
284,,ELECTRON MICROSCOPY,1,2.84,60,-780 e- per virion,"8,409.8 Å² × 60",93Å,127Å,128Å,186Å,254Å,256Å,7lil,Q9WZP2
285,,ELECTRON MICROSCOPY,1,3.3,60,-480 e- per virion,"6,007.1 Å² × 60",86Å,118Å,119Å,172Å,236Å,238Å,7mu1,Q9WZP2
286,Plant,X-RAY DIFFRACTION,1,4.6,60,-240 e- per virion,"3,562.7 Å² × 60",57Å,87Å,88Å,114Å,174Å,176Å,5cw0,Q86993
287,Plant,X-RAY DIFFRACTION,1,3.3,60,-180 e- per virion,"2,649.7 Å² × 60",56Å,84Å,85Å,112Å,168Å,170Å,5cvz,Q86993
288,,X-RAY DIFFRACTION,1,1.9,60,-180 e- per virion,"2,677.4 Å² × 60",56Å,84Å,85Å,112Å,168Å,170Å,1stm,Q86993
289,,MODEL,7d,,360,,"96,035.7 Å² × 60",225Å,298Å,300Å,450Å,596Å,600Å,1l0t,
290,Human,ELECTRON MICROSCOPY,7d,13.9,360,-60 e- per virion,"103,885.4 Å² × 60",217Å,330Å,341Å,434Å,660Å,682Å,3j8v,
291,Human,ELECTRON MICROSCOPY,7d,14.0,360,,,213Å,325Å,336Å,426Å,650Å,672Å,3j8z,3J8Z
292,Human,ELECTRON MICROSCOPY,7d,13.0,360,+120 e- per virion,"97,396.8 Å² × 60",213Å,322Å,333Å,426Å,644Å,666Å,3j8w,
293,Human,ELECTRON MICROSCOPY,7d,13.6,360,+780 e- per virion,"37,463.7 Å² × 60",281Å,330Å,339Å,562Å,660Å,678Å,3j7e,3J7E
294,Human,ELECTRON MICROSCOPY,7d,13.6,360,-420 e- per virion,"60,907.1 Å² × 60",218Å,292Å,294Å,436Å,584Å,588Å,3j7g,Q4VRM0
295,Human,ELECTRON MICROSCOPY,7d,9.1,360,+60 e- per virion,"91,083.4 Å² × 60",224Å,298Å,301Å,448Å,596Å,602Å,3j6r,
296,Humans,ELECTRON MICROSCOPY,7d,3.1,360,+120 e- per virion,"79,927.6 Å² × 60",213Å,289Å,292Å,426Å,578Å,584Å,7kzf,P03101
297,Human,ELECTRON MICROSCOPY,7d,4.3,360,+420 e- per virion,"91,111.2 Å² × 60",211Å,290Å,294Å,422Å,580Å,588Å,5kep,P03101
298,Human,ELECTRON MICROSCOPY,7d,4.3,360,+660 e- per virion,"92,510.5 Å² × 60",211Å,290Å,293Å,422Å,580Å,586Å,5keq,P03101
299,Human,ELECTRON MICROSCOPY,7d,4.7,360,+300 e- per virion,"105,717.7 Å² × 60",218Å,296Å,298Å,436Å,592Å,596Å,6bsp,P03101
300,Human,ELECTRON MICROSCOPY,7d,4.7,360,,"161,642.4 Å² × 60",218Å,357Å,359Å,436Å,714Å,718Å,6bt3,6BT3
301,,X-RAY DIFFRACTION,1,3.5,60,,"13,732.5 Å² × 60",88Å,158Å,160Å,176Å,316Å,320Å,1dzl,P03101
302,Human,ELECTRON MICROSCOPY,7d,6.0,360,,"84,524.7 Å² × 60",218Å,292Å,293Å,436Å,584Å,586Å,5jb1,
303,Humans,ELECTRON MICROSCOPY,7d,4.11,360,+120 e- per virion,"90,534.4 Å² × 60",217Å,297Å,298Å,434Å,594Å,596Å,7dn5,P26535
304,Human,ELECTRON MICROSCOPY,7d,12.0,360,-180 e- per virion,"97,724.6 Å² × 60",217Å,290Å,293Å,434Å,580Å,586Å,3jba,
305,Animal,ELECTRON MICROSCOPY,7d,4.2,360,-1500 e- per virion,"84,265.7 Å² × 60",209Å,286Å,290Å,418Å,572Å,580Å,3iyj,P03103
306,Animal: Mice,ELECTRON MICROSCOPY,7d,3.3,360,-1260 e- per virion,"88,082.6 Å² × 60",216Å,294Å,298Å,432Å,588Å,596Å,7ryj,
307,Plants,ELECTRON MICROSCOPY,2,2.9,120,-960 e- per virion,"17,804.8 Å² × 60",124Å,186Å,190Å,248Å,372Å,380Å,7ncr,F8VBM8
308,Fungi,ELECTRON MICROSCOPY,2,4.7,120,-1020 e- per virion,"25,835.5 Å² × 60",123Å,176Å,189Å,246Å,352Å,378Å,3iym,
309,,X-RAY DIFFRACTION,2,3.3,120,-1800 e- per virion,"20,095.4 Å² × 60",118Å,184Å,188Å,236Å,368Å,376Å,3es5,Q4G3H1
310,Algae,ELECTRON MICROSCOPY,169,3.5,10140,,,686Å,852Å,895Å,1372Å,1704Å,1790Å,6ncl,
311,,CRYO-ELECTRON MICROSCOPY,pT169,28.0,5040,-120 e- per virion,"39,841.0 Å² × 60",743Å,847Å,929Å,1486Å,1694Å,1858Å,1m4x,323324
312,Insect,X-RAY DIFFRACTION,1,3.5,60,-360 e- per virion,"8,749.9 Å² × 60",91Å,133Å,137Å,182Å,266Å,274Å,4mgu,
313,Humans,ELECTRON MICROSCOPY,1,2.76,60,-540 e- per virion,"9,133.8 Å² × 60",83Å,133Å,140Å,166Å,266Å,280Å,7lnk,
314,Humans,ELECTRON MICROSCOPY,1,2.54,60,-420 e- per virion,"9,946.8 Å² × 60",79Å,133Å,140Å,158Å,266Å,280Å,7l0y,
315,Humans,ELECTRON MICROSCOPY,1,2.74,60,-420 e- per virion,"8,916.2 Å² × 60",82Å,133Å,139Å,164Å,266Å,278Å,7l0w,
316,Humans,ELECTRON MICROSCOPY,1,2.51,60,-600 e- per virion,"10,422.4 Å² × 60",80Å,136Å,140Å,160Å,272Å,280Å,7l0x,
317,Humans,ELECTRON MICROSCOPY,1,2.74,60,-480 e- per virion,"9,112.2 Å² × 60",83Å,131Å,141Å,166Å,262Å,282Å,7l0u,
318,Humans,ELECTRON MICROSCOPY,1,2.71,60,-480 e- per virion,"9,510.8 Å² × 60",82Å,131Å,141Å,164Å,262Å,282Å,7l0v,
319,"Animal,Human",ELECTRON MICROSCOPY,1,2.8,60,-480 e- per virion,"9,369.1 Å² × 60",83Å,136Å,141Å,166Å,272Å,282Å,5us7,C1IWT3
320,"Animal,Human",ELECTRON MICROSCOPY,1,3.0,60,-600 e- per virion,"9,396.9 Å² × 60",84Å,141Å,141Å,168Å,282Å,282Å,5us9,
321,Animal,X-RAY DIFFRACTION,1,3.2,60,-300 e- per virion,"8,648.1 Å² × 60",86Å,133Å,139Å,172Å,266Å,278Å,4qc8,Q2LD55
322,"Animal,Human",ELECTRON MICROSCOPY,1,2.9,60,-480 e- per virion,"9,598.6 Å² × 60",84Å,135Å,141Å,168Å,270Å,282Å,5urf,U5XGX2
323,Human,ELECTRON MICROSCOPY,1,3.18,60,-60 e- per virion,"8,952.5 Å² × 60",83Å,137Å,139Å,166Å,274Å,278Å,6jct,Q9YIJ1
324,Insect,X-RAY DIFFRACTION,1,3.1,60,,"8,904.0 Å² × 60",80Å,127Å,131Å,160Å,254Å,262Å,3p0s,Q8V0M6
325,Insect,X-RAY DIFFRACTION,1,2.96,60,-180 e- per virion,"5,801.3 Å² × 60",78Å,118Å,121Å,156Å,236Å,242Å,6wh3,
326,Insect,X-RAY DIFFRACTION,1,3.78,60,-180 e- per virion,"5,458.2 Å² × 60",81Å,116Å,118Å,162Å,232Å,236Å,6wh7,
327,,X-RAY DIFFRACTION,1,3.6,60,-300 e- per virion,"9,290.0 Å² × 60",90Å,130Å,133Å,180Å,260Å,266Å,1dnv,556173
328,Humans,ELECTRON MICROSCOPY,1,2.49,60,-240 e- per virion,"10,553.3 Å² × 60",85Å,141Å,145Å,170Å,282Å,290Å,7ltm,
329,Human,ELECTRON MICROSCOPY,1,2.8,60,-300 e- per virion,"9,189.0 Å² × 60",84Å,137Å,147Å,168Å,274Å,294Å,5uf6,
330,Human,ELECTRON MICROSCOPY,1,3.3,60,-360 e- per virion,"13,419.2 Å² × 60",84Å,153Å,154Å,168Å,306Å,308Å,6jcq,Q9WBP8
331,Human,ELECTRON MICROSCOPY,1,3.07,60,-540 e- per virion,"9,768.4 Å² × 60",84Å,144Å,144Å,168Å,288Å,288Å,6jcr,
332,Human,ELECTRON MICROSCOPY,1,3.18,60,-60 e- per virion,"13,430.7 Å² × 60",84Å,142Å,147Å,168Å,284Å,294Å,6jcs,Q9YIJ1
333,Human,ELECTRON MICROSCOPY,1,3.3,60,-240 e- per virion,"11,077.1 Å² × 60",87Å,145Å,150Å,174Å,290Å,300Å,6ubm,Q8JQF8
334,Human,ELECTRON MICROSCOPY,1,3.6,60,-300 e- per virion,"11,067.0 Å² × 60",86Å,144Å,150Å,172Å,288Å,300Å,6u2v,Q8JQF8
335,Human,ELECTRON MICROSCOPY,1,3.3,60,-240 e- per virion,"10,750.8 Å² × 60",86Å,144Å,150Å,172Å,288Å,300Å,6u20,Q8JQF8
336,Human,ELECTRON MICROSCOPY,1,3.3,60,-240 e- per virion,"10,866.3 Å² × 60",86Å,144Å,150Å,172Å,288Å,300Å,6pwa,Q8JQF8
337,Humans,ELECTRON MICROSCOPY,1,2.71,60,-180 e- per virion,"9,821.4 Å² × 60",83Å,139Å,146Å,166Å,278Å,292Å,7rl1,
338,,X-RAY DIFFRACTION,1,3.0,60,-360 e- per virion,"9,654.1 Å² × 60",84Å,140Å,147Å,168Å,280Å,294Å,1lp3,2906021
339,Humans,ELECTRON MICROSCOPY,1,1.56,60,-180 e- per virion,"9,629.9 Å² × 60",84Å,136Å,147Å,168Å,272Å,294Å,7kfr,Q6JC41
340,Human,ELECTRON MICROSCOPY,1,2.8,60,-180 e- per virion,"9,577.1 Å² × 60",84Å,139Å,146Å,168Å,278Å,292Å,6ih9,P03135
341,Human,ELECTRON MICROSCOPY,1,2.84,60,-360 e- per virion,"13,609.7 Å² × 60",84Å,154Å,154Å,168Å,308Å,308Å,6ihb,Q8IZA0
